Price,Close,High,Low,Open,Volume
Ticker,ASTRAL.NS,ASTRAL.NS,ASTRAL.NS,ASTRAL.NS,ASTRAL.NS
Date,,,,,
2024-07-09,2324.373046875,2336.7636831151267,2292.0776960394974,2328.8516076589594,336505
2024-07-10,2338.306396484375,2357.91249217947,2281.4783379231953,2327.8564211010653,305366
2024-07-11,2327.308837890625,2342.933989542233,2301.5323308523166,2336.962575435061,248612
2024-07-12,2291.380859375,2335.2706050526062,2274.1134239322805,2327.308719979758,214191
2024-07-15,2251.820556640625,2289.0422773509026,2231.8162204171304,2289.0422773509026,526725
2024-07-16,2256.050048828125,2274.1134788322433,2238.3348055178794,2253.1139092546705,210636
2024-07-18,2238.981689453125,2266.1018620813975,2221.4158766665323,2266.1018620813975,194539
2024-07-19,2261.275390625,2304.866524904776,2208.9258896073097,2244.903567099486,821041
2024-07-22,2249.431884765625,2303.871233902564,2215.942297611163,2260.18047989696,875601
2024-07-23,2225.894775390625,2263.1663091511987,2167.673478519321,2263.1663091511987,413108
2024-07-24,2189.071044921875,2225.3473427681906,2184.094865711749,2225.3473427681906,234746
2024-07-25,2163.891357421875,2186.5329710271862,2153.690190852449,2165.6330200068987,281751
2024-07-26,2204.99462890625,2226.889815549222,2173.594892193219,2173.594892193219,260079
2024-07-29,2192.25537109375,2229.3777101633295,2177.575644967938,2222.2616293395963,534045
2024-07-30,2183.547119140625,2203.4518330799197,2178.570940655801,2198.475654595096,382126
2024-07-31,2178.322265625,2199.4710254854367,2169.5641423578877,2199.4710254854367,502783
2024-08-01,2158.467529296875,2198.475961300875,2147.6193129000635,2194.4950179576413,330769
2024-08-02,2120.300048828125,2160.109480589934,2115.921108525322,2139.7569571972067,210897
2024-08-05,2095.468994140625,2111.691386409594,2053.3206604728502,2090.244006147636,471373
2024-08-06,2080.7890625,2138.2639248027026,2070.836705391307,2099.9473499342344,380127
2024-08-07,2114.8759765625,2126.3211877297795,2088.0046112132354,2101.340673121508,227045
2024-08-08,2072.280029296875,2121.395015472598,2065.114379803419,2114.8761720878388,183709
2024-08-09,2021.672119140625,2087.755797325841,2005.4000389043351,2065.2138047494955,632306
2024-08-12,1928.6673583984375,2020.3285454483723,1906.4238639815194,2020.3285454483723,1768080
2024-08-13,1901.2486572265625,1949.6669024556368,1894.431316398318,1931.7526583289387,601770
2024-08-14,1854.0743408203125,1917.8192374482726,1850.1432083115408,1917.8192374482726,810952
2024-08-16,1882.77197265625,1904.3449068579544,1855.021163726711,1871.3129212217186,816779
2024-08-19,1876.0458984375,1902.8501371680115,1864.3377378709665,1897.4194705621478,1593840
2024-08-20,1889.99609375,1903.74700366365,1876.0958152616136,1876.0958152616136,816174
2024-08-21,1883.5191650390625,1902.0529095095676,1873.2060438255726,1892.1881372740213,673857
2024-08-22,1948.9852294921875,1954.017296170751,1888.302178745223,1901.255888510761,1036936
2024-08-23,1939.41943359375,1964.9781236776396,1924.7718258493971,1962.98524525606,903580
2024-08-26,1966.921142578125,1985.9033583049927,1949.0849779129044,1960.9923778947445,783184
2024-08-27,1946.1953125,1972.8998109662891,1943.056504588535,1972.8998109662891,280917
2024-08-28,1951.1275634765625,1974.6933747663375,1939.1205441577424,1948.038626299074,708790
2024-08-29,1923.9249267578125,1954.963911670614,1905.5405498604243,1951.4763743423757,281376
2024-08-30,1912.515625,1938.074315753389,1907.1846994097618,1938.074315753389,441021
2024-09-02,1909.67578125,1930.8002442380575,1903.1989262653274,1927.7611775727921,420363
2024-09-03,1919.1917724609375,1936.7788270566755,1909.725600047883,1913.5618666460446,330865
2024-09-04,1928.9071044921875,1936.579637886669,1903.9462531988436,1903.9462531988436,256231
2024-09-05,1926.216552734375,1940.0670816505858,1910.0244160744767,1940.0670816505858,368394
2024-09-06,1892.736328125,1932.9924975725562,1889.2487908002106,1928.060050374679,312986
2024-09-09,1909.7257080078125,1916.451672997318,1870.8147063401914,1903.1989822155874,484580
2024-09-10,1935.1348876953125,1945.0494095456525,1910.174035911381,1919.0921185150276,352805
2024-09-11,1916.2523193359375,1953.0209524099698,1907.4837268167125,1945.0494383185007,335566
2024-09-12,1932.7930908203125,1941.4621849459127,1919.7896320853815,1923.1276791183802,510533
2024-09-13,1927.5618896484375,1949.0850751046698,1923.1277835685637,1933.0423056119748,286166
2024-09-16,1897.369873046875,1936.5797342577123,1890.7933981478154,1927.5619101493564,505775
2024-09-17,1902.3021240234375,1909.625928092084,1893.7327709078902,1903.198943664336,196810
2024-09-18,1889.6474609375,1913.1135328264802,1868.3236361761456,1902.302191045605,273488
2024-09-19,1901.6046142578125,1913.1134141614068,1873.3057163433687,1893.1348809658346,308606
2024-09-20,1921.03515625,1935.08492463002,1896.2237958655655,1916.152579847337,518567
2024-09-23,1965.376708984375,1974.693391208425,1932.4443446599073,1940.0671288925462,1140689
2024-09-24,2001.7965087890625,2008.7715832817591,1966.9211363255783,1979.426497106029,1238922
2024-09-25,2017.739501953125,2030.6932115054083,1992.9282632730362,2024.7644469415056,661747
2024-09-26,2001.3980712890625,2022.67202459916,1992.878467187576,2022.5724050029305,317884
2024-09-27,1997.711181640625,2019.2841154668206,1979.0778165474237,1979.0778165474237,368524
2024-09-30,1982.4658203125,2006.33049243993,1965.7255917362163,2002.8429549561754,827247
2024-10-01,1967.46923828125,1994.5723363888299,1951.5262107742863,1982.9140461786212,558479
2024-10-03,1912.1170654296875,1964.9782167193234,1900.7577551973363,1938.0743567540994,492776
2024-10-04,1886.408935546875,1918.1455004083195,1871.3627276370353,1914.1597435243543,544086
2024-10-07,1880.7791748046875,1900.757831382041,1842.5158814378212,1891.0922972109224,603553
2024-10-08,1892.337646484375,1899.1632306270787,1873.8039018277252,1878.2878781947684,313473
2024-10-09,1894.9783935546875,1915.604637918216,1888.2524284401907,1892.337805145569,340800
2024-10-10,1892.6864013671875,1908.181079676258,1884.2166681153608,1898.2166876152853,269728
2024-10-11,1890.693603515625,1897.2203292479178,1875.298665779717,1892.188262388457,316306
2024-10-14,1898.6153564453125,1907.1847096012393,1877.5905127616868,1888.252363999137,551594
2024-10-15,1897.718505859375,1910.7220864125393,1886.408944971748,1900.109984328832,289324
2024-10-16,1887.853759765625,1900.3092502655509,1875.3485202850893,1897.7185325686962,183555
2024-10-17,1856.1170654296875,1883.867872009668,1841.6188268401193,1877.2913978094384,528719
2024-10-18,1865.0352783203125,1872.3093334322923,1836.7862501712286,1859.9037135387969,313813
2024-10-21,1843.4625244140625,1891.2417388676536,1828.316574493372,1868.1741453862626,639520
2024-10-22,1783.7757568359375,1861.0994187042006,1774.3095839125324,1854.772053761476,540604
2024-10-23,1786.7650146484375,1802.5585519846338,1760.259755679386,1783.7756969834547,819053
2024-10-24,1785.5692138671875,1803.554990465034,1767.1350882740367,1802.608421859104,591028
2024-10-25,1792.893310546875,1814.4661244371337,1746.9573607550215,1794.5373381103109,993364
2024-10-28,1788.857421875,1807.7398955126423,1784.3235749923458,1795.5335156669557,362060
2024-10-29,1753.6334228515625,1800.0175959644475,1733.8042578740344,1797.5763685084817,640667
2024-10-30,1740.6796875,1763.64753840443,1727.177887494209,1760.0106325813533,684713
